GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trailrunner,se.kristins,MyFirstStubEtc,3,4,0,0,1,1,1,1,1,1
trailrunner,se.kristins,Main,10,0,0,0,2,0,2,0,2,0
